sector,start,end
1,1325.3159722220153,1353.1840277779847
2,1354.1076388889924,1381.5208333334886
3,1382.7256944444962,1409.375
4,1410.90625,1436.8576388889924
5,1437.9826388889924,1464.2951388889924
6,1465.2118055555038,1490.0520833334886
7,1491.6319444444962,1516.09375
8,1517.3472222220153,1542.0069444444962
9,1543.2222222220153,1568.4826388889924
10,1569.4375,1595.6875
11,1596.7777777779847,1623.8993055555038
12,1624.9548611110076,1652.8993055555038
13,1653.9201388889924,1682.3645833334886
14,1683.3541666665114,1710.2118055555038
15,1711.3645833334886,1737.4166666665114
16,1738.6527777779847,1763.3263888889924
17,1764.6840277779847,1789.7013888889924
18,1790.65625,1815.0381944444962
19,1816.0833333334886,1841.15625
20,1842.5034722220153,1868.8298611110076
21,1870.4340277779847,1897.7881944444962
22,1899.3055555555038,1926.5
23,1928.1041666665114,1954.8819444444962
24,1955.7951388889924,1982.2881944444962
25,1983.6319444444962,2009.3125
26,2010.2673611110076,2035.1423611110076
27,2036.2777777779847,2060.649305555504
28,2061.850694444496,2087.1041666665114
29,2088.2395833334886,2114.4409722220153
30,2115.8854166665114,2143.2291666665114
31,2144.5138888889924,2172.0347222220153
32,2173.0729166665114,2200.2395833334886
33,2201.7326388889924,2227.5798611110076
34,2228.75,2254.0729166665114
35,2254.9895833334886,2279.9861111110076
36,2280.9027777779847,2305.9965277779847
37,2307.2395833334886,2332.586805555504
38,2333.8541666665114,2360.5590277779847
39,2361.7708333334886,2389.725694444496
40,2390.6527777779847,2418.8611111110076
41,2419.9895833334886,2446.586805555504
42,2447.6909722220153,2473.1666666665114
43,2474.1666666665114,2498.8958333334886
44,2500.1875,2524.4479166665114
45,2525.506944444496,2550.631944444496
46,2551.5659722220153,2578.7777777779847
47,2579.8020833334886,2606.9479166665114
48,2607.9340277779847,2635.993055555504
49,2637.4722222220153,2664.3229166665114
50,2665.2708333334886,2691.5173611110076
51,2692.9479166665114,2717.5416666665114
52,2718.6354166665114,2743.0833333334886
53,2743.9965277779847,2768.9861111110076
54,2769.899305555504,2796.1354166665114
55,2797.100694444496,2824.2708333334886
56,2825.256944444496,2853.1458333334886
57,2853.3541666665114,2882.1215277779847
58,2882.3298611110076,2910.055555555504
59,2910.2638888889924,2936.694444444496
60,2936.9027777779847,2962.5902777779847
61,2962.7986111110076,2988.2326388889924
62,2988.4409722220153,3014.1597222220153
63,3014.368055555504,3040.90625
64,3041.1145833334886,3068.53125
65,3068.7395833334886,3097.506944444496
66,3097.7152777779847,3119.288194444496
